	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
20	-0.9999888	-0.9999957	0.99997455	-0.9999968	0.9999895	-0.9999896	0.99999034	-0.9999969	0.9999914	-0.9999913	-0.99999446	0.9999845	0.9999862	-0.9999746	-0.9999915	0.9999884	-0.999991	0.9999974	-0.9999909	-0.9999925	0.99999535	0.99999446	-0.9999828	-0.9999878	-0.99999213	-0.9999942	0.99998355	-0.9999676	0.99999577	0.99999624	-0.9999967	0.99999666	-0.99997574	-0.99999344	-0.9999917	0.99999714	-0.99999654	-0.9999946	-0.9999786	-0.99998903	-0.9999733	0.99999166	0.999997	-0.9999962	-0.9999775	-0.99999183	-0.9999967	-0.9999978	0.9999926	-0.9999937
21	-0.9999943	-0.9999874	0.9999861	-0.9999705	0.9999917	-0.9999814	0.99998045	-0.99999297	0.99998105	-0.9999895	-0.99998015	0.999969	0.99997264	-0.9999693	-0.99996626	0.9999866	-0.99994814	0.9999818	-0.99996823	-0.99998194	0.9999946	0.9999885	-0.999948	-0.9999802	-0.99998236	-0.99998426	0.99998915	-0.9999555	0.99998116	0.99999577	-0.99999404	0.9999863	-0.9999246	-0.99998343	-0.99998295	0.9999748	-0.9999788	-0.9999853	-0.99995124	-0.99998814	-0.99988043	0.9999953	0.99998707	-0.99996936	-0.9999788	-0.999989	-0.9999744	-0.999967	0.9999812	-0.99999005
22	-0.9999891	-0.9999858	0.9999824	-0.9999927	0.9999906	-0.9999826	0.99998873	-0.9999979	0.9999931	-0.999992	-0.99999714	0.9999924	0.9998835	-0.9999802	-0.99999636	0.9999895	-0.9999851	0.9999968	-0.99998325	-0.9999769	0.999996	0.99999124	-0.9999748	-0.99997914	-0.99998367	-0.9999908	0.99997544	-0.99999154	0.99999636	0.99999756	-0.9999961	0.99999046	-0.99997455	-0.999986	-0.9999791	0.9999948	-0.9999956	-0.99999374	-0.9999695	-0.99999076	-0.999932	0.9999947	0.99999404	-0.9999936	-0.99998605	-0.9999782	-0.9999798	-0.9999899	0.9999892	-0.99999094
23	-0.9999812	-0.9999921	0.99998885	-0.999997	0.99998564	-0.9999923	0.9999963	-0.9999983	0.9999901	-0.9999924	-0.99999225	0.9999823	0.9999933	-0.9999866	-0.9999931	0.9999867	-0.9999825	0.99999744	-0.9999939	-0.99999136	0.9999897	0.9999955	-0.99996376	-0.99999547	-0.99998146	-0.9999882	0.9999862	-0.9999917	0.9999944	0.99999666	-0.999997	0.99999326	-0.99996483	-0.99998385	-0.99999464	0.9999951	-0.99999696	-0.9999974	-0.9999932	-0.99999547	-0.99997854	0.999998	0.9999947	-0.9999951	-0.9999964	-0.99999523	-0.99998945	-0.99999315	0.99999464	-0.99999875
24	-0.9999636	-0.99999243	0.99999446	-0.9999907	0.9999715	-0.9999876	0.99997985	-0.9999976	0.999993	-0.9999871	-0.99999374	0.9999919	0.9999848	-0.9999849	-0.99999195	0.9999924	-0.9999863	0.99999523	-0.99998015	-0.9999818	0.99999225	0.999989	-0.9999846	-0.9999923	-0.9999743	-0.999987	0.99997544	-0.9999929	0.9999892	0.999999	-0.99999535	0.99999565	-0.99999034	-0.9999486	-0.99997514	0.99998444	-0.99999887	-0.9999947	-0.9999785	-0.9999926	-0.99996704	0.99999195	0.999989	-0.99998957	-0.99999654	-0.9999944	-0.9999934	-0.9999908	0.9999911	-0.9999954
25	-0.99999076	-0.9999698	0.9999681	-0.9999883	0.9999728	-0.99998724	0.99997824	-0.9999957	0.9999841	-0.9999676	-0.99999326	0.99997467	0.99992466	-0.99996156	-0.9999897	0.9999739	-0.9999254	0.99999446	-0.9999821	-0.9999889	0.99999326	0.9999888	-0.9999794	-0.99997395	-0.9999906	-0.9999588	0.9999642	-0.99997836	0.9999595	0.99999297	-0.999986	0.9999914	-0.9999638	-0.999978	-0.9999561	0.9999663	-0.99999	-0.9999928	-0.99997544	-0.99998415	-0.9999113	0.9999964	0.9999921	-0.9999713	-0.9999709	-0.99996954	-0.99999183	-0.9999894	0.9999911	-0.99998003
26	-0.99996746	-0.999985	0.99996394	-0.99998	0.99998593	-0.99995637	0.9999823	-0.9999773	0.9999549	-0.99998814	-0.999987	0.9999147	0.99998426	-0.9998892	-0.99994934	0.9999316	-0.9999278	0.99998075	-0.99998033	-0.9999309	0.99997294	0.9999515	-0.9999836	-0.99992764	-0.99995583	-0.9999602	0.99973214	-0.9999775	0.9999762	0.9999635	-0.9999855	0.9999818	-0.9999854	-0.999975	-0.99988276	0.9999753	-0.9999869	-0.9999826	-0.9999758	-0.99997103	-0.99991345	0.99998057	0.99992406	-0.99998283	-0.9999625	-0.9999753	-0.99998707	-0.9999151	0.9999749	-0.9999633
27	-0.99994355	-0.9999811	0.9999805	-0.9999749	0.99999076	-0.99999255	0.9999439	-0.9999939	0.9999893	-0.99999064	-0.9999968	0.9999872	0.999982	-0.99999404	-0.999974	0.99994147	-0.9999864	0.99999493	-0.99998593	-0.9999892	0.9999844	0.99999034	-0.9999795	-0.9999927	-0.9999892	-0.999965	0.9999828	-0.99997854	0.9999903	0.9999926	-0.9999833	0.99998814	-0.99999106	-0.9999932	-0.9999513	0.9999867	-0.9999966	-0.99999326	-0.999984	-0.9999883	-0.99992675	0.9999846	0.9999938	-0.9999634	-0.9999945	-0.9999896	-0.99998343	-0.99998707	0.99996346	-0.99998623
28	-0.9999795	-0.9999934	0.99999475	-0.9999936	0.9999946	-0.9999932	0.99999124	-0.9999996	0.9999966	-0.99999386	-0.99999857	0.99998885	0.99999326	-0.9999866	-0.99999523	0.9999818	-0.9999932	0.9999963	-0.999994	-0.9999978	0.99999446	0.999998	-0.9999725	-0.9999957	-0.9999843	-0.9999851	0.9999923	-0.99999255	0.99999464	0.99999887	-0.9999965	0.99998736	-0.9999855	-0.9999966	-0.99999267	0.9999947	-0.99999917	-0.99999624	-0.9999952	-0.9999943	-0.9999548	0.9999994	0.9999981	-0.99999195	-0.9999987	-0.99999815	-0.9999963	-0.99998385	0.9999976	-0.9999945
29	-0.9999779	-0.99998647	0.9999497	-0.9999833	0.9999862	-0.9999896	0.99999094	-0.9999753	0.99996203	-0.9999903	-0.99998987	0.9999706	0.9999504	-0.9999701	-0.9999839	0.9999786	-0.9999925	0.9999926	-0.9999643	-0.9999845	0.99999386	0.99998397	-0.9999545	-0.9999468	-0.99995387	-0.99995035	0.99995893	-0.9999657	0.99997085	0.99998796	-0.9999843	0.9999793	-0.99995816	-0.99998814	-0.99997765	0.99997187	-0.9999888	-0.9999853	-0.99996483	-0.9999566	-0.9999549	0.999996	0.99997675	-0.9999785	-0.9999362	-0.9999834	-0.99999434	-0.9999748	0.99998116	-0.99999034
30	-0.9999675	-0.9999765	0.99997365	-0.9999842	0.9999159	-0.9999378	0.99997866	-0.9999792	0.9999409	-0.99994045	-0.9999234	0.9997227	0.99994373	-0.9999831	-0.9999766	0.99996084	-0.9998911	0.9999807	-0.99995863	-0.99994105	0.99997675	0.9999648	-0.9999719	-0.9999782	-0.9999701	-0.99994344	0.9999391	-0.999976	0.9999728	0.9999544	-0.9999879	0.9999471	-0.99989533	-0.99998325	-0.9999414	0.99996006	-0.99994797	-0.99994504	-0.99997497	-0.99998033	-0.99995	0.99996394	0.9998684	-0.9999859	-0.9999608	-0.99997765	-0.9999652	-0.9999463	0.999928	-0.9999841
